Rank,Name,Symbol,market Cap,Price,Circulating Price,1hour %,24 Hour %,7d %,Volume(24 H)
81,Frax Share,FXS,$346802266.60,$4.77,72657803 FXS *,0.13%,0.57%,-9.60%,$4754958.60
82,XDC Network,XDC,$330577748.36,$0.02687,12305012699 XDC *,-0.39%,0.50%,11.56%,$2114379.05
83,EthereumPoW,ETHW,$319238995.03,$2.96,107700969 ETHW *,0.53%,-0.71%,0.18%,$12216589.93
84,ImmutableX,IMX,$310470303.70,$0.4245,731419290 IMX *,0.02%,-0.65%,0.97%,$3810753.47
85,Stacks,STX,$309971647.83,$0.2296,1350149284 STX,0.45%,-3.27%,-2.62%,$4848739.81
86,1inch Network,1INCH,$305483321.48,$0.3983,766939802 1INCH *,0.21%,-0.30%,1.89%,$9550225.27
87,Lido DAO,LDO,$303586445.78,$0.9701,312951154 LDO *,-0.08%,2.53%,-1.36%,$17578542.01
88,Casper,CSPR,$293090429.81,$0.02763,10608695950 CSPR *,-0.27%,2.15%,-0.73%,$3376230.02
89,Decred,DCR,$282970838.49,$19.37,14609324 DCR,0.10%,0.31%,-1.46%,$969565.72
90,Zilliqa,ZIL,$279273085.80,$0.0176,15867699447 ZIL,0.16%,-1.97%,-5.57%,$14209900.62
91,Basic Attention Token,BAT,$278026529.98,$0.186,1494373166 BAT *,0.10%,-1.63%,-1.73%,$9289608.41
92,Curve DAO Token,CRV,$277312086.31,$0.5217,531583334 CRV *,0.45%,-0.43%,-5.15%,$26078023.53
93,Loopring,LRC,$276533507.32,$0.2079,1330133546 LRC *,0.26%,0.43%,-1.18%,$10806708.29
94,NEM,XEM,$268215783.70,$0.0298,8999999999 XEM *,-0.15%,-1.19%,-2.44%,$7369759.07
95,Enjin Coin,ENJ,$261389558.83,$0.2614,1000000000 ENJ *,0.03%,-1.10%,-0.11%,$6469110.77
96,Convex Finance,CVX,$260436686.74,$3.60,72312916 CVX *,0.49%,0.59%,3.14%,$3117503.41
97,Helium,HNT,$255196626.06,$1.88,135550842 HNT,0.18%,-2.13%,7.36%,$1297915.05
98,Holo,HOT,$255001836.55,$0.001471,173342974127 HOT *,0.36%,-0.05%,-3.55%,$8852141.10
99,Balancer,BAL,$251656540.20,$5.45,46207904 BAL *,0.32%,-1.72%,-0.90%,$4440488.73
100,Kava,KAVA,$247615198.18,$0.6898,358954539 KAVA *,0.25%,-2.52%,-1.76%,$9674265.71
101,Celo,CELO,$240392705.15,$0.502,478832129 CELO *,-0.08%,2.90%,-4.96%,$42596949.96
102,Ravencoin,RVN,$238052905.57,$0.01979,12030431926 RVN,0.31%,-0.30%,-0.67%,$3615645.86
103,Compound,COMP,$231311869.64,$31.83,7267152 COMP *,0.36%,-3.09%,-5.68%,$10824358.80
104,Bitcoin Gold,BTG,$225502383.23,$12.88,17513924 BTG,-0.15%,-1.68%,-6.54%,$1411184.35
105,Gnosis,GNO,$224239840.81,$86.59,2589588 GNO *,-0.18%,-0.46%,1.34%,$3047762.92
106,Ethereum Name Service,ENS,$224040407.09,$11.07,20244862 ENS *,0.40%,1.32%,-4.67%,$11016164.16
107,Optimism,OP,$218926706.37,$0.9326,234748364 OP,0.39%,-0.01%,0.65%,$29568219.06
108,Theta Fuel,TFUEL,$212953457.04,$0.03576,5954870518 TFUEL *,0.26%,-3.63%,-2.19%,$4766179.88
109,Kusama,KSM,$211785392.37,$25.00,8470098 KSM *,0.37%,0.00%,-1.72%,$7123507.77
110,Arweave,AR,$211550185.58,$6.33,33394701 AR *,0.49%,0.76%,-18.00%,$8868674.30
111,SwissBorg,CHSB,$207804933.67,$0.2078,1000000000 CHSB *,0.07%,-0.56%,-2.33%,$209329.27
112,SushiSwap,SUSHI,$207422969.18,$0.9333,222257372 SUSHI *,0.59%,-0.80%,-7.13%,$25484998.54
113,TerraClassicUSD,USTC,$206253860.99,$0.02104,9803971652 USTC *,3.46%,0.93%,0.00%,$7422939.78
114,Qtum,QTUM,$205950907.47,$1.97,104467281 QTUM *,0.13%,-1.49%,-2.91%,$21403520.89
115,Oasis Network,ROSE,$202302231.81,$0.03533,5725718533 ROSE *,0.18%,-0.03%,-7.55%,$7995561.44
116,yearn.finance,YFI,$202196255.76,$5518.80,36638 YFI *,0.36%,0.45%,-0.31%,$11011637.12
117,BinaryX,BNX,$197443074.15,$69.64,2835170 BNX *,-1.54%,0.69%,11.46%,$11224473.46
118,Golem,GLM,$196970373.78,$0.197,1000000000 GLM *,0.33%,-1.78%,0.39%,$2730204.03
119,Kadena,KDA,$193083953.51,$0.9068,212927632 KDA,0.09%,-0.67%,-0.76%,$1609186.78
120,JUST,JST,$187366501.48,$0.02105,8902080000 JST *,0.43%,1.04%,3.48%,$12917031.81
121,IoTeX,IOTX,$186239527.99,$0.0198,9406437139 IOTX *,0.28%,-0.90%,-1.77%,$3971609.60
122,Chia,XCH,$179149456.17,$29.71,6029370 XCH,0.09%,-0.99%,-2.80%,$3195590.12
123,Symbol,XYM,$175928335.90,$0.03151,5582460005 XYM *,-0.06%,-1.34%,-0.74%,$520634.27
124,Waves,WAVES,$172569831.69,$1.57,110211292 WAVES *,0.46%,-1.99%,2.55%,$41311269.56
125,STEPN,GMT,$172123047.72,$0.2869,600000000 GMT *,0.10%,-0.80%,-4.18%,$47209260.30
126,Ankr,ANKR,$166448954.34,$0.01723,9662899378 ANKR *,0.34%,-1.96%,-5.33%,$9434535.34
127,Moonbeam,GLMR,$165180524.33,$0.3381,488572469 GLMR *,0.51%,0.97%,-2.95%,$3980785.49
128,Terra,LUNA,$162245017.93,$1.27,127475474 LUNA,1.49%,-0.32%,-3.55%,$19242316.17
129,Dogelon Mars,ELON,$162719898.41,$0.0000003,550616091688363 ELON *,-0.24%,0.27%,-1.46%,$3811991.66
130,Mask Network,MASK,$154954642.93,$2.27,68200000 MASK *,0.40%,-2.27%,-8.12%,$57867160.67
131,Livepeer,LPT,$151862566.19,$5.64,26946002 LPT *,-0.02%,0.41%,-1.27%,$5296196.01
132,Astar,ASTR,$148505062.49,$0.03875,3832076899 ASTR *,-0.01%,-1.73%,0.76%,$1076547.52
133,Hive,HIVE,$147616533.39,$0.3017,489274065 HIVE *,0.45%,-3.70%,3.93%,$5518442.03
134,Harmony,ONE,$145245682.15,$0.01124,12920456921 ONE *,0.49%,0.51%,-3.25%,$5098056.41
135,Polymath,POLY,$145116537.64,$0.1569,924998413 POLY *,0.15%,-1.68%,-8.55%,$1035636.93
136,OMG Network,OMG,$143704393.59,$1.02,140245398 OMG *,0.20%,0.37%,0.96%,$11253244.13
137,JasmyCoin,JASMY,$143456838.55,$0.003098,46299999999 JASMY,0.32%,-1.05%,-0.94%,$9214500.22
138,0x,ZRX,$138902773.49,$0.1639,847496055 ZRX *,0.34%,-2.68%,-2.49%,$6928637.52
139,WOO Network,WOO,$138318590.06,$0.1145,1208470014 WOO *,0.28%,-1.41%,-6.46%,$6565121.59
140,Ontology,ONT,$138081236.74,$0.1578,875249524 ONT *,0.14%,-1.79%,-3.24%,$6479708.98
141,ICON,ICX,$137595513.00,$0.1496,919483096 ICX *,0.21%,-0.69%,-1.03%,$1824181.29
142,Amp,AMP,$135244382.42,$0.003203,42227702186 AMP,0.14%,-2.62%,-1.57%,$4879658.28
143,Flux,FLUX,$132584528.37,$0.4648,285276852 FLUX,1.02%,1.71%,1.91%,$4243443.67
144,Threshold,T,$132867488.05,$0.01611,8245460686 T,0.46%,-2.40%,0.43%,$3107033.19
145,IOST,IOST,$132136019.02,$0.007108,18588745668 IOST *,0.10%,-0.43%,-2.40%,$3100416.47
146,Bone ShibaSwap,BONE,$129420099.44,$0.8038,161019952 BONE *,-0.03%,-2.04%,-11.34%,$1803092.22
147,Gala,GALA,$128586743.76,$0.01843,6977205436 GALA *,0.10%,-1.56%,-9.35%,$44946641.01
148,Reserve Rights,RSR,$127172689.45,$0.003006,42302323974 RSR *,-0.29%,-2.59%,-7.25%,$5489027.38
149,SafePal,SFP,$125141530.43,$0.3858,324402079 SFP *,-0.07%,-1.28%,-4.48%,$4961815.57
150,Siacoin,SC,$125039786.83,$0.002366,52837642991 SC,0.10%,-2.11%,-3.19%,$1450655.54
151,Ribbon Finance,RBN,$123576276.25,$0.2345,527016135 RBN *,0.23%,2.90%,-5.07%,$482850.40
152,APENFT,NFT,$123651289.05,$0.00000045,277080562500000 NFT *,-0.01%,0.10%,-1.61%,$9389932.95
153,DigiByte,DGB,$121557876.98,$0.007646,15897769737 DGB,-0.14%,-2.18%,-5.90%,$2664719.27
154,Audius,AUDIO,$120914080.23,$0.1301,929742732 AUDIO *,0.42%,-0.83%,-0.58%,$2257197.92
155,Horizen,ZEN,$120402243.69,$9.13,13186038 ZEN,0.20%,1.39%,5.81%,$4724075.57
156,Celsius,CEL,$120871803.65,$0.506,238863520 CEL *,0.98%,-1.32%,-0.76%,$1771292.35
157,MAGIC,MAGIC,$118896175.50,$0.5796,205136870 MAGIC *,-0.62%,-0.57%,-11.85%,$9648338.25
158,Braintrust,BTRST,$116971847.20,$0.901,129824382 BTRST *,-0.01%,1.06%,0.61%,$414950.96
159,WAX,WAXP,$111268359.48,$0.04781,2327269579 WAXP *,0.07%,-2.03%,-2.14%,$1408600.66
160,BORA,BORA,$111103802.73,$0.1198,927500000 BORA *,0.11%,-1.23%,-2.44%,$2140352.73
161,Storj,STORJ,$109408172.03,$0.265,412937122 STORJ *,0.21%,-1.09%,-3.21%,$4005576.27
162,UMA,UMA,$109339797.04,$1.59,68947415 UMA *,0.22%,-1.19%,-0.88%,$5748187.64
163,SXP,SXP,$108104063.22,$0.2126,508517137 SXP *,0.19%,-1.13%,-1.78%,$4099412.95
164,ConstitutionDAO,PEOPLE,$106807020.45,$0.02111,5060137335 PEOPLE,0.27%,-1.01%,2.30%,$11497876.75
165,iExec RLC,RLC,$106949135.38,$1.32,80999785 RLC *,0.55%,3.29%,12.33%,$20576021.00
166,Render Token,RNDR,$104709294.35,$0.4126,253798860 RNDR *,-1.38%,-2.80%,-8.33%,$4757524.14
167,Secret,SCRT,$101484525.61,$0.6215,163295557 SCRT *,0.08%,-2.28%,1.13%,$836083.39
168,ssv.network,SSV,$101236941.87,$10.12,10000000 SSV,0.42%,1.00%,0.76%,$1640499.09
169,Ocean Protocol,OCEAN,$100468408.25,$0.1639,613099141 OCEAN *,-0.65%,-1.12%,10.68%,$11082194.60
170,ABBC Coin,ABBC,$98232366.82,$0.09377,1047620318 ABBC *,-0.42%,-2.36%,-4.40%,$8614943.01
171,Lisk,LSK,$96562998.15,$0.7491,128900445 LSK *,0.57%,-1.37%,3.47%,$5077308.08
172,Energy Web Token,EWT,$95852401.70,$3.19,30062138 EWT *,0.04%,2.29%,-4.36%,$907875.68
173,Injective,INJ,$95729003.48,$1.31,73005554 INJ *,0.38%,-0.50%,-7.08%,$2765169.40
174,MXC,MXC,$93625860.17,$0.03544,2642132371 MXC *,1.44%,10.34%,5.68%,$8096476.11
175,Tribe,TRIBE,$91841518.95,$0.2025,453448622 TRIBE *,0.10%,-0.75%,0.58%,$795238.74
176,Smooth Love Potion,SLP,$91484966.90,$0.002145,42656209107 SLP *,-0.07%,-0.91%,-2.13%,$3447615.31
177,Pundi X (New),PUNDIX,$90460976.96,$0.35,258491637 PUNDIX,0.10%,-2.70%,-0.43%,$6228952.03
178,SKALE,SKL,$89375351.40,$0.02213,4039352671 SKL *,-0.03%,-1.07%,2.33%,$2618472.04
179,Aragon,ANT,$88800734.33,$2.12,41958140 ANT *,-0.29%,0.68%,14.17%,$8525759.49
180,Voyager Token,VGX,$88984950.73,$0.3195,278482214 VGX *,0.05%,-0.53%,8.98%,$4038428.65
181,Nano,XNO,$88114779.50,$0.6613,133248297 XNO *,-0.15%,0.60%,-5.23%,$966046.94
182,Request,REQ,$88143125.13,$0.08816,999830316 REQ *,-0.01%,-0.76%,-0.14%,$970308.55
183,Kyber Network Crystal v2,KNC,$87141485.07,$0.5285,164893760 KNC *,0.53%,-0.14%,-0.50%,$4625091.10
184,API3,API3,$85816981.21,$1.20,71748537 API3 *,0.16%,-0.32%,0.79%,$2654799.91
185,PlayDapp,PLA,$84625125.84,$0.1573,537855941 PLA *,0.11%,-2.29%,-7.23%,$5982075.22
186,Civic,CVC,$84256199.55,$0.08426,1000000000 CVC *,0.44%,-1.54%,-4.90%,$4098229.09
187,Radicle,RAD,$81960484.97,$1.68,48829981 RAD *,-0.44%,3.10%,0.34%,$24426755.11
188,Status,SNT,$81735914.39,$0.02084,3921516776 SNT *,0.25%,-0.99%,-0.06%,$1112208.82
189,MediBloc,MED,$81656541.66,$0.01283,6365724128 MED *,-0.21%,-3.63%,-5.48%,$342718.15
190,MX TOKEN,MX,$81129654.96,$0.8113,100000000 MX *,-0.14%,-0.28%,0.75%,$1057481.85
191,DAO Maker,DAO,$81166831.86,$0.8815,92074259 DAO *,0.04%,-0.07%,2.88%,$689503.62
192,aelf,ELF,$80137023.36,$0.152,527339629 ELF *,-0.11%,1.18%,8.67%,$9470169.77
193,Syscoin,SYS,$78929796.99,$0.1052,750628505 SYS,-0.36%,-0.92%,1.15%,$1574388.69
194,Vulcan Forged PYR,PYR,$78626046.79,$2.89,27182227 PYR *,0.03%,-0.97%,-1.63%,$6324956.19
195,Fetch.ai,FET,$77850342.86,$0.09507,818912300 FET *,0.76%,1.75%,8.00%,$22832524.49
196,Ontology Gas,ONG,$77138496.55,$0.2353,327807147 ONG *,0.90%,-0.19%,1.99%,$6849565.81
197,Illuvium,ILV,$76752342.88,$39.75,1930890 ILV *,0.17%,-0.82%,-3.48%,$3906970.39
198,Numeraire,NMR,$76336990.34,$12.96,5888504 NMR *,-0.76%,0.83%,5.47%,$11331406.91
199,Nervos Network,CKB,$75849567.13,$0.002275,33340068750 CKB,0.03%,-0.62%,2.52%,$918776.25
200,renBTC,RENBTC,$74867821.65,$20914.56,3580 RENBTC *,0.08%,18.40%,23.56%,$1175871.38
